year,uni,course,gross_monthly_median
2022,NUS,Environmental Studies,3.8
2022,NTU,Sociology,3.8
2022,NUS,Social Sciences,3.795
2022,NTU,English,3.748
2022,NTU,Maritime Studies,3.74
2022,NTU,Chemistry and Biological Chemistry,3.7
2022,NTU,Psychology,3.668
2022,NTU,NTU 25th Percentile,3.659
2022,NTU,Civil Engineering,3.65
2022,NTU,Chinese,3.6
2022,NTU,Accountancy,3.6
2022,NTU,Biological Sciences,3.6
2022,NUS,Project & Facilities Management,3.555
2022,NTU,Communication Studies,3.5
2022,NTU,Linguistics and Multilingual Studies,3.5
2022,NTU,Philosophy,3.45
2022,NTU,Sports Science and Management,3.35
2022,NTU,"Art, Design and Media",3.2
2022,NUS,Medicine,
