Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
114,Communication Studies*,155,159,176,170,168,188,189,190,221,185,186,180,174,164,168,169
115,Economics,BBC/B (73.75),BBC/C (72.5),AAC/C (77.5),BCC/B (71.25),BBC/B (73.75),ABC/C (75),ABC/C (75),ABC/C (75),ABC/C (75),ABC/C (75),BBB/C (75),BBC/B (73.75),BBB/C (75),BBB/C (75),BBB/B (76.25),ABB/B (78.75)
116,Economics,3.63,3.57,3.63,3.54,3.51,3.57,3.61,3.69,3.63,3.71,3.60,3.68,3.61,3.55,3.52,3.48
117,Economics,92,112,100,112,163,103,117,115,147,117,134,122,139,166,157,78
118,Economics and Data Science,AAA/C (82.5),AAB/B (81.25),AAA/C (82.5),,,,,,,,,,,,,
119,Economics and Data Science,3.79,3.76,#,,,,,,,,,,,,,
120,Economics and Data Science,40,33,13,,,,,,,,,,,,,
121,English*,BBC/B (73.75),BBC/B (73.75),BCC/B (71.25),BCC/D (68.75),BBC/C (72.5),BBC/C (72.5),BBC/C (72.5),BCC/C (70),BCC/C (70),BCC/B (71.25),BCC/C (70),BCC/C (70),BCC/B (71.25),BCC/B (71.25),BCC/C (70),CCC/C (67.5)
122,English*,3.35,3.34,3.35,3.24,3.39,3.39,3.33,3.35,3.32,3.34,3.38,3.40,#,#,#,#
123,English*,69,97,102,109,90,109,99,123,104,89,104,80,94,81,101,100
124,History*,BCC/C (70),BCC/C (70),BCC/D (68.75),CCC/C (67.5),BBC/B (73.75),BCC/C (70),BCC/B (71.25),BCC/C (70),BCC/B (71.25),BCC/B (71.25),CCC/B (68.75),BCC/C (70),,,,
125,History*,3.39,3.35,3.47,3.23,#,3.49,3.45,3.41,3.38,#,#,#,,,,
126,History*,80,76,70,74,49,63,71,66,55,55,83,68,,,,
127,Linguistics & Multilingual Studies*,ABC/C (75),ABC/C (75),BCC/B (71.25),BCC/B (71.25),BCC/B (71.25),ABC/C (75),BBC/B (73.75),BBC/C (72.5),BBC/B (73.75),BBC/C (72.5),BBC/C (72.5),BBC/C (72.5),BBC/B (73.75),BBC/C (72.5),BCC/C (70),BCC/C (70)
128,Linguistics & Multilingual Studies*,3.45,3.50,3.46,3.23,3.38,3.52,3.53,3.53,3.44,3.49,#,#,#,#,#,#
129,Linguistics & Multilingual Studies*,63,70,92,89,82,80,79,79,104,74,63,66,61,68,69,52
130,Philosophy*,BBC/C (72.5),BBC/C (72.5),BCC/C (70),BCC/D (68.75),BCC/C (70),BCC/B (71.25),BCC/B (71.25),BCC/B (71.25),BCC/B (71.25),BCC/C (70),,,,,,
131,Philosophy*,3.43,3.50,3.55,3.47,3.31,#,#,#,3.48,3.48,,,,,,
132,Philosophy*,28,39,41,47,59,35,43,42,38,42,,,,,,
133,"Philosophy, Politics & Economics",New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
134,"Philosophy, Politics & Economics",New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
135,"Philosophy, Politics & Economics",New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
136,Psychology,AAC/C (77.5),AAC/B (78.75),AAC/B (78.75),AAC/C (77.5),ABC/C (75),AAC/C (77.5),AAC/C (77.5),ABC/B (76.25),ABC/B (76.25),ABC/C (75),BBC/B (73.75),BBB/C (75),BBB/C (75),BBB/B (76.25),BBC/A (75),BBB/B (76.25)
137,Psychology,3.75,3.73,3.72,3.52,3.67,3.68,3.74,3.69,3.71,3.81,3.69,3.63,3.67,3.69,3.32,3.49
138,Psychology,137,113,147,134,134,117,111,127,133,119,178,102,113,73,124,77
139,Public Policy & Global Affairs,AAB/B (81.25),AAC/B (78.75),AAB/C (80),ABC/C (75),ABC/C (75),ABC/C (75),BBC/B (73.75),BBC/C (72.5),ABC/C (75),ABC/C (75),BBC/B (73.75),,,,,
140,Public Policy & Global Affairs,3.62,3.60,3.64,3.50,3.56,3.67,3.63,3.64,3.62,3.63,3.46,,,,,
141,Public Policy & Global Affairs,41,47,45,52,65,59,65,52,60,42,78,,,,,
142,Sociology,BCC/B (71.25),BBC/C (72.5),ABC/C (75),BBC/C (72.5),BBC/C (72.5),BBC/C (72.5),BBC/B (73.75),BBC/B (73.75),BCC/B (71.25),BBC/C (72.5),BBC/C (72.5),BCC/B (71.25),BBC/B (73.75),BBB/C (75),CCC/B (68.75),BCC/B (71.25)
143,Sociology,3.59,3.61,3.62,3.56,3.47,3.56,3.58,3.64,3.58,3.47,3.50,3.58,3.49,3.50,3.33,3.39
144,Sociology,86,99,88,100,139,116,98,86,170,128,139,103,98,76,201,63
145,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education,National Institute of Education
146,Arts (Education)*,BCC/C (70),BCC/C (70),BBC/B (73.75),ABC/B (76.25),ABC/B (76.25),BBC/B (73.75),ABC/B (76.25),ABC/B (76.25),ABC/D (73.75),no data,BCD/B (68.75),BBC/C (72.5),no data,no data,no data,no data
147,Arts (Education)*,#,#,#,#,#,#,#,3.59,#,no data,3.48,3.21,no data,no data,no data,no data
148,Arts (Education)*,42,39,33,41,28,33,41,33,36,no data,86,125,no data,no data,no data,no data
149,Science (Education)*,ABC/B (76.25),AAC/B (78.75),AAC/B (78.75),AAC/B (78.75),AAB/B (81.25),AAB/C (80),AAC/C (77.5),AAC/C (77.5),AAC/C (77.5),no data,ABC/C (75),BCC/B (71.25),no data,no data,no data,no data
150,Science (Education)*,#,#,#,#,#,#,#,3.78,#,no data,3.37,3.30,no data,no data,no data,no data
151,Science (Education)*,22,24,32,25,29,37,16,39,22,no data,34,72,no data,no data,no data,no data
152,Sport Science & Management* (under NIE from 2022),BCC/D (68.75),BCC/D (68.75),BCC/D (68.75),BCC/C (70),BCC/B (71.25),BBC/C (72.5),BBC/B (73.75),BBC/B (73.75),ABC/C (75),ABC/D (73.75),BBC/C (72.5),BBC/C (72.5),BBB/C (75),BBC/A (75),AAB/C (80),
153,Sport Science & Management* (under NIE from 2022),3.43,3.54,3.55,3.64,3.54,3.58,3.67,3.61,3.64,3.68,3.58,3.46,#,3.53,3.41,
154,Sport Science & Management* (under NIE from 2022),69,70,74,78,74,77,77,77,75,75,90,74,72,48,35,
