Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
55,Computer Science,AAB/C (80),AAA/C (82.5),AAA/B (83.75),AAB/B (81.25),AAC/C (77.5),AAB/C (80),AAC/B (78.75),ABC/C (75),BBC/D (71.25),BCC/C (70),BCC/D (68.75),BCC/B (71.25),BCC/B (71.25),BBC/C (72.5),BBC/C (72.5),BCC/C (70)
56,Computer Science,3.72,3.70,3.90,3.92,3.56,3.68,3.65,3.61,3.54,3.55,3.55,3.54,3.55,3.56,3.33,3.40
57,Computer Science,497,402,478,472,424,347,308,263,268,265,253,246,299,218,221,198
58,Data Science & Artificial Intelligence,AAA/C (82.5),AAA/B (83.75),AAA/A (85),AAA/A (85),AAB/B (81.25),AAA/B (83.75),,,,,,,,,,
59,Data Science & Artificial Intelligence,3.90,3.90,#,#,#,#,,,,,,,,,,
60,Data Science & Artificial Intelligence,121,75,87,74,52,24,,,,,,,,,,
61,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science,College of Science
62,CoS Double Major Programmes*,AAB/B (81.25),AAB/B (81.25),AAA/C (82.5),AAA/C (82.5),AAA/C (82.5),AAA/C (82.5),,,,,,,,,,
63,CoS Double Major Programmes*,3.76,3.78,3.56,3.85,3.84,#,,,,,,,,,,
64,CoS Double Major Programmes*,111,93,107,101,63,27,,,,,,,,,,
65,Biological Sciences*,AAB/D (78.75),AAB/C (80),AAB/B (81.25),AAA/C (82.5),AAB/B (81.25),AAB/B (81.25),AAC/C (77.5),ABC/C (75),ABC/D (73.75),BBC/C (72.5),BBC/B (73.75),BBC/B (73.75),BBC/B (73.75),BBB/B (76.25),BBC/B (73.75),BBC/C (72.5)
66,Biological Sciences*,3.73,3.71,3.67,3.70,3.71,3.79,3.78,3.68,3.54,3.58,3.37,3.49,3.37,3.35,3.29,3.32
67,Biological Sciences*,220,236,219,208,263,209,252,250,305,314,351,265,348,311,389,340
68,Chemistry & Biological Chemistry,BBC/C (72.5),BBC/C (72.5),ABC/B (76.25),BBC/B (73.75),BBC/B (73.75),ABC/C (75),BBC/B (73.75),BCC/C (70),BBC/D (71.25),BCC/C (70),CCC/B (68.75),BCC/B (71.25),BBB/B (76.25),ABB/B (78.75),BBB/B (76.25),BBB/C (75)
69,Chemistry & Biological Chemistry,3.52,3.57,3.68,3.63,3.49,3.66,3.58,3.50,3.46,3.57,3.27,3.30,3.33,3.39,3.33,3.40
70,Chemistry & Biological Chemistry,200,170,180,201,231,205,198,244,236,255,297,215,227,205,298,285
71,Chinese Medicine,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
72,Chinese Medicine,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
73,Chinese Medicine,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
74,Environmental Earth Systems Science*,AAB/B (81.25),AAA/C (82.5),AAA/B (83.75),AAA/A (85),AAA/B (83.75),AAA/A (85),AAA/B (83.75),AAA/A (85),AAA/B (83.75),AAB/B (81.25),,,,,,
75,Environmental Earth Systems Science*,#,#,#,#,#,#,#,#,#,#,,,,,,
76,Environmental Earth Systems Science*,48,48,31,29,34,24,27,34,30,27,,,,,,
77,Mathematical Sciences,BCC/D (68.75),BCC/B (71.25),BBC/C (72.5),BCC/B (71.25),BCC/B (71.25),BBC/B (73.75),BBC/C (72.5),BCC/D (68.75),BBC/D (71.25),BBC/D (71.25),CCC/B (68.75),BBC/B (73.75),BBB/B (76.25),BBB/B (76.25),BBB/B (76.25),BBB/B (76.25)
78,Mathematical Sciences,3.53,3.36,#,3.45,#,#,3.60,3.55,3.56,3.6,3.52,#,3.54,3.36,#,#
79,Mathematical Sciences,170,138,133,129,152,184,157,169,178,166,206,105,136,112,146,141
80,Mathematics & Economics,(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),AAB/B (81.25),BCC/B (71.25),ABC/D (73.75),ABC/D (73.75),BBB/C (75),BBB/B (76.25),ABB/B (78.75),ABB/B (78.75),ABB/B (78.75),ABB/B (78.75)
81,Mathematics & Economics,(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),#,#,#,#,#,#,#,#,#,#
82,Mathematics & Economics,(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),(no longer offered as single major course wef AY18/19),38,94,68,82,96,103,111,101,122,117
83,Physics / Applied Physics,CDD/C (62.5),CCD/C (65),CCD/C (65),BCC/D (68.75),BCC/C (70),BCC/B (71.25),BCC/B (71.25),CCC/D (66.25),CCD/D (63.75),CCD/C (65),CDD/C (62.5),CCC/C (67.5),BCC/C (70),BBB/C (75),BBB/C (75),CCC/B (68.75)
84,Physics / Applied Physics,3.37,#,3.41,3.50,3.52,3.52,3.48,3.44,3.47,3.34,3.35,3.34,3.32,3.20,3.27,3.28
85,Physics / Applied Physics,68,57,67,80,80,87,98,121,121,156,118,118,107,109,83,65
